accession,entry_type,database,primary_id,secondary_id,isoform
A0A0A0MPK2,TrEMBL,ZFIN,ZDB-GENE-070705-263,znrf3,
A0A0A0MPK4,TrEMBL,Ensembl,ENSDART00000092114.8,ENSDARP00000086547.8,
A0A0A0MPK4,TrEMBL,ZFIN,ZDB-GENE-121214-64,si:ch73-383l1.1,
A0A0A0MPK9,TrEMBL,Ensembl,ENSDART00000099234.6,ENSDARP00000090006.3,
A0A0A0MPK9,TrEMBL,ZFIN,ZDB-GENE-050506-42,scaf4b,
A0A0A0MPL9,TrEMBL,Ensembl,ENSDART00000112063.5,ENSDARP00000098621.4,
A0A0A0MPL9,TrEMBL,ZFIN,ZDB-GENE-070705-128,ptger4c,
A0A0A0MPN0,TrEMBL,Ensembl,ENSDART00000113559.5,ENSDARP00000104216.3,
A0A0A0MPN0,TrEMBL,ZFIN,ZDB-GENE-090313-135,bcl9,
A0A0A0MPN8,TrEMBL,Ensembl,ENSDART00000130050.3,ENSDARP00000107560.3,
A0A0A0MPN8,TrEMBL,ZFIN,ZDB-GENE-091204-452,psme4a,
A0A0A0MPP9,TrEMBL,Ensembl,ENSDART00000135030.3,ENSDARP00000112652.2,
A0A0A0MPP9,TrEMBL,ZFIN,ZDB-GENE-060526-297,pdzd2,
A0A0A0MPQ9,TrEMBL,Ensembl,ENSDART00000144383.3,ENSDARP00000114689.1,
A0A0A0MPQ9,TrEMBL,ZFIN,ZDB-GENE-070705-17,myripa,
A0A0A0MPR1,TrEMBL,Ensembl,ENSDART00000131883.5,ENSDARP00000114991.2,
A0A0A0MPR1,TrEMBL,ZFIN,ZDB-GENE-041001-137,caskin2,
A0A0A0MPR3,TrEMBL,Ensembl,ENSDART00000133901.4,ENSDARP00000115194.3,
A0A0A0MPR3,TrEMBL,ZFIN,ZDB-GENE-070424-160,si:ch211-22k7.9,
A0A0A0MPR4,TrEMBL,Ensembl,ENSDART00000134826.5,ENSDARP00000115410.3,
A0A0A0MPR4,TrEMBL,ZFIN,ZDB-GENE-081031-6,si:ch211-15j1.4,
A0A0A0MPR8,TrEMBL,Ensembl,ENSDART00000134135.3,ENSDARP00000115916.3,
A0A0A0MPR8,TrEMBL,ZFIN,ZDB-GENE-070912-636,mhc1haa,
A0A0A0MPR9,TrEMBL,Ensembl,ENSDART00000137721.2,ENSDARP00000116016.2,
A0A0A0MPR9,TrEMBL,ZFIN,ZDB-GENE-050522-210,vkorc1l1,
A0A0A0MPS0,TrEMBL,Ensembl,ENSDART00000140074.4,ENSDARP00000116988.3,
A0A0A0MPS0,TrEMBL,ZFIN,ZDB-GENE-081031-20,si:dkey-222h21.2,
A0A0A0MPS1,TrEMBL,Ensembl,ENSDART00000133437.3,ENSDARP00000117188.2,
A0A0A0MPS1,TrEMBL,ZFIN,ZDB-GENE-090309-2,tmprss13b,
A0A0A0MPS3,TrEMBL,Ensembl,ENSDART00000131475.4,ENSDARP00000117255.3,
A0A0A0MPS3,TrEMBL,ZFIN,ZDB-GENE-081031-33,si:dkey-222h21.7,
A0A0A0MPT1,TrEMBL,Ensembl,ENSDART00000138653.4,ENSDARP00000118623.2,
A0A0A0MPT1,TrEMBL,ZFIN,ZDB-GENE-041210-51,erc1b,
A0A0A0MPT2,TrEMBL,Ensembl,ENSDART00000143189.3,ENSDARP00000118778.2,
A0A0A0MPT2,TrEMBL,ZFIN,ZDB-GENE-050208-596,rfxank,
A0A0A0MPT5,TrEMBL,Ensembl,ENSDART00000140792.3,ENSDARP00000119103.2,
A0A0A0MPT5,TrEMBL,ZFIN,ZDB-GENE-091204-124,oma1,
A0A0A0MPT6,TrEMBL,Ensembl,ENSDART00000135965.4,ENSDARP00000119930.3,
A0A0A0MPT6,TrEMBL,ZFIN,ZDB-GENE-060503-398,plch1,
A0A0A0MPT9,TrEMBL,Ensembl,ENSDART00000140536.4,ENSDARP00000120373.3,
A0A0A0MPT9,TrEMBL,ZFIN,ZDB-GENE-081031-15,si:dkey-222h21.6,
A0A0A0MPU2,TrEMBL,Ensembl,ENSDART00000144573.3,ENSDARP00000120503.2,
A0A0A0MPU2,TrEMBL,ZFIN,ZDB-GENE-050809-29,obsl1b,
A0A0A0MPU5,TrEMBL,Ensembl,ENSDART00000142486.3,ENSDARP00000121615.2,
A0A0A0MPU5,TrEMBL,ZFIN,ZDB-GENE-041014-304,unc93a,
A0A0A0MPU8,TrEMBL,Ensembl,ENSDART00000131946.2,ENSDARP00000121749.1,
A0A0A0MPU8,TrEMBL,ZFIN,ZDB-GENE-040724-19,cdk19,
A0A0A0MPU9,TrEMBL,Ensembl,ENSDART00000142978.4,ENSDARP00000121927.3,
A0A0A0MPU9,TrEMBL,ZFIN,ZDB-GENE-070705-409,si:dkey-240n22.3,
A0A0A0MPV1,TrEMBL,Ensembl,ENSDART00000132647.4,ENSDARP00000122659.2,
A0A0A0MPV1,TrEMBL,ZFIN,ZDB-GENE-041210-51,erc1b,
A0A0A0MPV2,TrEMBL,Ensembl,ENSDART00000146252.4,ENSDARP00000122895.3,
A0A0A0MPV2,TrEMBL,ZFIN,ZDB-GENE-081031-32,si:dkey-222h21.11,
A0A0A0MPV6,TrEMBL,Ensembl,ENSDART00000142516.5,ENSDARP00000123586.3,
A0A0A0MPV6,TrEMBL,ZFIN,ZDB-GENE-030131-6226,arap1a,
A0A0A0MPW6,TrEMBL,Ensembl,ENSDART00000132534.5,ENSDARP00000124718.2,
A0A0A0MPW6,TrEMBL,ZFIN,ZDB-GENE-050208-140,alx4b,
A0A0A0MPW8,TrEMBL,Ensembl,ENSDART00000152081.2,ENSDARP00000126485.1,
A0A0A0MPW8,TrEMBL,ZFIN,ZDB-GENE-040513-5,asic4a,
A0A0A1GRF4,TrEMBL,ZFIN,ZDB-GENE-050102-2,araf,
A0A0A1GU50,TrEMBL,ZFIN,ZDB-GENE-050102-2,araf,
A0A0A1GUM7,TrEMBL,Ensembl,ENSDART00000076696.6,ENSDARP00000071167.6,
A0A0A1GUM7,TrEMBL,ZFIN,ZDB-GENE-050102-2,araf,
A0A0A1GVY9,TrEMBL,Ensembl,ENSDART00000164542.2,ENSDARP00000135192.2,
A0A0A1GVY9,TrEMBL,ZFIN,ZDB-GENE-050102-2,araf,
A0A0A1I9R6,TrEMBL,ZFIN,ZDB-GENE-070912-689,col15a1b,
A0A0A8JX97,TrEMBL,ZFIN,ZDB-GENE-070912-658,ltb4r2b,
A0A0A8LEK6,TrEMBL,ZFIN,ZDB-GENE-060503-369,shank3a,
A0A0A8P613,TrEMBL,ZFIN,ZDB-GENE-070705-323,cd180,
A0A0B4J1A9,TrEMBL,Ensembl,ENSDART00000113019.3,ENSDARP00000101746.2,
A0A0B4J1A9,TrEMBL,ZFIN,ZDB-GENE-141212-14,tradv27.0,
A0A0B4J1B1,TrEMBL,Ensembl,ENSDART00000136342.3,ENSDARP00000112713.1,
A0A0B4J1B1,TrEMBL,ZFIN,ZDB-GENE-050102-2,araf,
A0A0B4P4A9,TrEMBL,ZFIN,ZDB-GENE-980526-440,cbfb,
A0A0B4P4E8,TrEMBL,ZFIN,ZDB-GENE-980526-440,cbfb,
A0A0B4P508,TrEMBL,ZFIN,ZDB-GENE-980526-440,cbfb,
A0A0B4P589,TrEMBL,ZFIN,ZDB-GENE-980526-440,cbfb,
A0A0B4PJ32,TrEMBL,Ensembl,ENSDART00000173131.2,ENSDARP00000142061.1,
A0A0B4PJ32,TrEMBL,ZFIN,ZDB-GENE-980526-440,cbfb,
A0A0B4PJE0,TrEMBL,ZFIN,ZDB-GENE-980526-440,cbfb,
A0A0B4VEV8,TrEMBL,ZFIN,ZDB-GENE-990415-270,tp53,
A0A0B4VEY6,TrEMBL,ZFIN,ZDB-GENE-990415-270,tp53,
A0A0B5GNT7,TrEMBL,Ensembl,ENSDART00000168937.3,ENSDARP00000133018.1,
A0A0B5GNT7,TrEMBL,Ensembl,ENSDART00000191403.1,ENSDARP00000145029.1,
A0A0B5GNT7,TrEMBL,ZFIN,ZDB-GENE-100115-1,bmp16,
A0A0B5GTK3,TrEMBL,ZFIN,ZDB-GENE-980526-388,bmp2a,
A0A0B5JF83,TrEMBL,ZFIN,ZDB-GENE-050208-64,matn4,
A0A0B5JF88,TrEMBL,ZFIN,ZDB-GENE-980526-166,shha,
A0A0B5JF91,TrEMBL,ZFIN,ZDB-GENE-060929-640,manf,
A0A0B5JF96,TrEMBL,ZFIN,ZDB-GENE-040527-2,rgmb,
A0A0B5JFA0,TrEMBL,ZFIN,ZDB-GENE-090608-3,pcdh17,
A0A0B5JFA7,TrEMBL,ZFIN,ZDB-GENE-020107-1,ptpra,
A0A0B5JFB2,TrEMBL,ZFIN,ZDB-GENE-990714-11,fsta,
A0A0B5JFB4,TrEMBL,ZFIN,ZDB-GENE-990415-67,efnb2a,
A0A0B5JFB8,TrEMBL,ZFIN,ZDB-GENE-011108-1,efna3b,
A0A0B5JFC0,TrEMBL,ZFIN,ZDB-GENE-990715-2,sema3d,
A0A0B5JFC4,TrEMBL,ZFIN,ZDB-GENE-070209-277,ryk,
A0A0B5JFC8,TrEMBL,ZFIN,ZDB-GENE-990415-262,tnn,
A0A0B5JFD1,TrEMBL,ZFIN,ZDB-GENE-041010-10,pttg1ipb,
A0A0B5JFD6,TrEMBL,ZFIN,ZDB-GENE-070912-266,olfml2bb,
A0A0B5JFE1,TrEMBL,ZFIN,ZDB-GENE-040426-1358,c6,
A0A0B5JFE4,TrEMBL,ZFIN,ZDB-GENE-131127-232,si:ch211-286c4.6,
A0A0B5JFE8,TrEMBL,ZFIN,ZDB-GENE-010906-2,ednraa,
A0A0B5JFF7,TrEMBL,ZFIN,ZDB-GENE-080204-79,ramp2,
A0A0B5JFF8,TrEMBL,ZFIN,ZDB-GENE-090406-1,ptprz1a,
A0A0B5JFG2,TrEMBL,ZFIN,ZDB-GENE-081104-352,draxinb,
A0A0B5JFG6,TrEMBL,ZFIN,ZDB-GENE-050302-175,hapln1a,
A0A0B5JFG8,TrEMBL,ZFIN,ZDB-GENE-000607-1,pcdh18a,
A0A0B5JFH1,TrEMBL,ZFIN,ZDB-GENE-030131-6104,ror1,
A0A0B5JFH5,TrEMBL,ZFIN,ZDB-GENE-070613-1,plxna3,
A0A0B5JFH7,TrEMBL,ZFIN,ZDB-GENE-060427-5,ror2,
A0A0B5JFI1,TrEMBL,ZFIN,ZDB-GENE-980526-352,wnt4,
A0A0B5JFI5,TrEMBL,ZFIN,ZDB-GENE-051202-1,grin1a,
A0A0B5JFI8,TrEMBL,ZFIN,ZDB-GENE-060809-5,si:ch211-251b21.1,
A0A0B5JJY8,TrEMBL,ZFIN,ZDB-GENE-990415-62,ephb4a,
A0A0B5JJZ3,TrEMBL,ZFIN,ZDB-GENE-040426-1917,metrnla,
A0A0B5JJZ7,TrEMBL,Ensembl,ENSDART00000056747,ENSDARP00000056746,
A0A0B5JJZ7,TrEMBL,ZFIN,ZDB-GENE-980526-41,shhb,
A0A0B5JK02,TrEMBL,ZFIN,ZDB-GENE-081104-94,msmp2,
A0A0B5JK07,TrEMBL,ZFIN,ZDB-GENE-010131-6,mdkb,
A0A0B5JK11,TrEMBL,ZFIN,ZDB-GENE-990415-171,cdh2,
A0A0B5JK15,TrEMBL,ZFIN,ZDB-GENE-040611-1,nrp1b,
A0A0B5JK18,TrEMBL,ZFIN,ZDB-GENE-040527-1,rgma,
A0A0B5JK22,TrEMBL,ZFIN,ZDB-GENE-040310-5,sfrp1a,
A0A0B5JK27,TrEMBL,ZFIN,ZDB-GENE-050417-36,chodl,
A0A0B5JK29,TrEMBL,ZFIN,ZDB-GENE-990415-66,efna2a,
A0A0B5JK34,TrEMBL,ZFIN,ZDB-GENE-111117-2,gal,
A0A0B5JK37,TrEMBL,ZFIN,ZDB-GENE-020731-1,pcdh10a,
A0A0B5JK41,TrEMBL,ZFIN,ZDB-GENE-021115-4,cdon,
A0A0B5JK45,TrEMBL,ZFIN,ZDB-GENE-030911-9,grem2b,
A0A0B5JK49,TrEMBL,ZFIN,ZDB-GENE-021231-1,igfbp1a,
A0A0B5JK53,TrEMBL,ZFIN,ZDB-GENE-030328-33,zgc:174888,
A0A0B5JK58,TrEMBL,ZFIN,ZDB-GENE-140430-1,fgfbp1a,
A0A0B5JK63,TrEMBL,ZFIN,ZDB-GENE-030131-4042,calr,
A0A0B5JK66,TrEMBL,ZFIN,ZDB-GENE-030519-2,nrp1a,
A0A0B5JK69,TrEMBL,ZFIN,ZDB-GENE-030219-146,bmper,
A0A0B5JK74,TrEMBL,ZFIN,ZDB-GENE-990415-168,ntn1b,
A0A0B5JK82,TrEMBL,ZFIN,ZDB-GENE-030131-4827,hhip,
A0A0B5JK91,TrEMBL,ZFIN,ZDB-GENE-990415-181,ndr2,
A0A0B5JK95,TrEMBL,ZFIN,ZDB-GENE-060929-1226,seraf,
A0A0B5JK99,TrEMBL,ZFIN,ZDB-GENE-990708-5,dkk1b,
A0A0B5JKA2,TrEMBL,ZFIN,ZDB-GENE-011101-2,dcc,
A0A0B5JKA7,TrEMBL,ZFIN,ZDB-GENE-040426-1306,gpc1b,
A0A0B5JKB4,TrEMBL,ZFIN,ZDB-GENE-990415-279,wnt8b,
A0A0B5JPZ1,TrEMBL,ZFIN,ZDB-GENE-000208-17,calr3a,
A0A0B5JPZ5,TrEMBL,ZFIN,ZDB-GENE-990415-72,fgf8a,
A0A0B5JPZ7,TrEMBL,ZFIN,ZDB-GENE-990415-169,ntn1a,
A0A0B5JPZ8,TrEMBL,ZFIN,ZDB-GENE-030131-9,sparc,
A0A0B5JQ03,TrEMBL,ZFIN,ZDB-GENE-040426-1774,clu,
A0A0B5JQ06,TrEMBL,ZFIN,ZDB-GENE-990621-1,mdka,
A0A0B5JQ10,TrEMBL,ZFIN,ZDB-GENE-050519-1,cspg4,
A0A0B5JQ14,TrEMBL,ZFIN,ZDB-GENE-990415-65,ephb4b,
A0A0B5JQ16,TrEMBL,ZFIN,ZDB-GENE-041014-1,met,
A0A0B5JQ21,TrEMBL,ZFIN,ZDB-GENE-030131-651,hjv,
A0A0B5JQ25,TrEMBL,ZFIN,ZDB-GENE-030131-3745,epha7,
A0A0B5JQ29,TrEMBL,ZFIN,ZDB-GENE-010618-3,efnb3b,
A0A0B5JQ32,TrEMBL,ZFIN,ZDB-GENE-061215-106,csf1b,
A0A0B5JQ36,TrEMBL,ZFIN,ZDB-GENE-991117-1,glra1,
A0A0B5JQ40,TrEMBL,ZFIN,ZDB-GENE-111117-2,gal,
A0A0B5JQ43,TrEMBL,ZFIN,ZDB-GENE-070112-352,wfdc1,
A0A0B5JQ49,TrEMBL,ZFIN,ZDB-GENE-080204-107,csf1a,
A0A0B5JQ56,TrEMBL,ZFIN,ZDB-GENE-030131-2513,rnaset2,
A0A0B5JQ62,TrEMBL,ZFIN,ZDB-GENE-050506-100,ptprz1b,
A0A0B5JQ66,TrEMBL,ZFIN,ZDB-GENE-050310-2,ntn2,
A0A0B5JQ70,TrEMBL,ZFIN,ZDB-GENE-990715-1,frzb,
A0A0B5JQ72,TrEMBL,ZFIN,ZDB-GENE-000411-1,wnt4b,
A0A0B5JQ78,TrEMBL,ZFIN,ZDB-GENE-050320-78,shisa9a,
A0A0B5JQ80,TrEMBL,ZFIN,ZDB-GENE-031118-121,erbb2,
A0A0B5JQ85,TrEMBL,ZFIN,ZDB-GENE-070207-1,defbl1,
A0A0B5JQ90,TrEMBL,Ensembl,ENSDART00000016382.5,ENSDARP00000019818.4,
A0A0B5JQ90,TrEMBL,ZFIN,ZDB-GENE-990712-17,wif1,
A0A0B5JQA2,TrEMBL,ZFIN,ZDB-GENE-041010-51,c1qc,
A0A0B5JQA5,TrEMBL,ZFIN,ZDB-GENE-031118-211,smim29,
A0A0B5JS31,TrEMBL,ZFIN,ZDB-GENE-030131-4148,fstl1a,
A0A0B5JS34,TrEMBL,ZFIN,ZDB-GENE-070912-300,oc90,
A0A0B5JS36,TrEMBL,ZFIN,ZDB-GENE-030131-5971,tnfrsf21,
A0A0B5JS40,TrEMBL,ZFIN,ZDB-GENE-110718-3,urp2,
A0A0B5JS44,TrEMBL,ZFIN,ZDB-GENE-000629-2,ngfb,
A0A0B5JS46,TrEMBL,ZFIN,ZDB-GENE-050519-1,cspg4,
A0A0B5JS51,TrEMBL,ZFIN,ZDB-GENE-040426-2651,tmem59l,
A0A0B5JS55,TrEMBL,ZFIN,ZDB-GENE-040426-1626,creld2,
A0A0B5JS61,TrEMBL,ZFIN,ZDB-GENE-040611-3,nrp2b,
A0A0B5JS65,TrEMBL,ZFIN,ZDB-GENE-990415-58,ek1,
A0A0B5JS68,TrEMBL,ZFIN,ZDB-GENE-000201-9,anos1a,
A0A0B5JS77,TrEMBL,ZFIN,ZDB-GENE-990603-12,wnt11f2,
A0A0B5JS81,TrEMBL,ZFIN,ZDB-GENE-050417-107,zgc:110239,
A0A0B5JS86,TrEMBL,ZFIN,ZDB-GENE-050506-102,si:dkey-251i10.2,
A0A0B5JS90,TrEMBL,ZFIN,ZDB-GENE-031030-14,pik3ip1,
A0A0B5JS95,TrEMBL,ZFIN,ZDB-GENE-040801-239,c8a,
A0A0B5JS98,TrEMBL,ZFIN,ZDB-GENE-090313-253,tac3a,
A0A0B5JSA7,TrEMBL,ZFIN,ZDB-GENE-040426-2364,ednrab,
A0A0B5JSB3,TrEMBL,ZFIN,ZDB-GENE-050506-100,ptprz1b,
A0A0B5JSB7,TrEMBL,ZFIN,ZDB-GENE-050310-1,ntn4,
A0A0B5JSC2,TrEMBL,ZFIN,ZDB-GENE-041221-2,prnpb,
A0A0B5JSD1,TrEMBL,ZFIN,ZDB-GENE-990415-60,ephb3a,
A0A0B5JSD6,TrEMBL,ZFIN,ZDB-GENE-980526-249,wnt11,
A0A0B5JSD9,TrEMBL,ZFIN,ZDB-GENE-030131-5217,afp4,
A0A0B5JSE4,TrEMBL,ZFIN,ZDB-GENE-040427-2,gdf11,
A0A0B5JSE7,TrEMBL,ZFIN,ZDB-GENE-000427-9,spon1a,
A0A0B5JSF1,TrEMBL,ZFIN,ZDB-GENE-040801-106,glrbb,
A0A0B5JSF5,TrEMBL,ZFIN,ZDB-GENE-070912-163,c8b,
A0A0B5JSG0,TrEMBL,ZFIN,ZDB-GENE-030131-73,tgfbi,
A0A0B5JW24,TrEMBL,ZFIN,ZDB-GENE-040625-166,calua,
A0A0B5JW28,TrEMBL,ZFIN,ZDB-GENE-990630-11,lft2,
A0A0B5JW32,TrEMBL,ZFIN,ZDB-GENE-030624-1,ptn,
A0A0B5JW36,TrEMBL,ZFIN,ZDB-GENE-990415-160,spon2a,
A0A0B5JW41,TrEMBL,ZFIN,ZDB-GENE-030131-7871,cd59,
A0A0B5JW45,TrEMBL,ZFIN,ZDB-GENE-030131-2537,nradd,
A0A0B5JW50,TrEMBL,ZFIN,ZDB-GENE-030721-4,pcdh10b,
A0A0B5JW53,TrEMBL,ZFIN,ZDB-GENE-001207-7,epha4a,
A0A0B5JW56,TrEMBL,ZFIN,ZDB-GENE-980526-307,ret,
A0A0B5JW61,TrEMBL,ZFIN,ZDB-GENE-980526-186,efna5b,
A0A0B5JW65,TrEMBL,ZFIN,ZDB-GENE-990415-58,ek1,
A0A0B5JW68,TrEMBL,ZFIN,ZDB-GENE-060302-1,prtgb,
A0A0B5JW72,TrEMBL,ZFIN,ZDB-GENE-130530-668,fgl1b,
A0A0B5JW77,TrEMBL,ZFIN,ZDB-GENE-141215-7,si:ch211-159i8.4,
A0A0B5JW80,TrEMBL,ZFIN,ZDB-GENE-050320-129,nenf,
A0A0B5JW87,TrEMBL,ZFIN,ZDB-GENE-021120-1,c7b,
A0A0B5JW90,TrEMBL,ZFIN,ZDB-GENE-111031-2,fibina,
A0A0B5JW94,TrEMBL,ZFIN,ZDB-GENE-030616-115,ltk,
A0A0B5JW98,TrEMBL,ZFIN,ZDB-GENE-050506-52,slc22a7a,
A0A0B5JWA3,TrEMBL,ZFIN,ZDB-GENE-030131-3611,wu:fc46h12,
A0A0B5JWA7,TrEMBL,ZFIN,ZDB-GENE-060503-186,efna3a,
A0A0B5JWB5,TrEMBL,ZFIN,ZDB-GENE-000427-10,spon1b,
A0A0B5JWB9,TrEMBL,ZFIN,ZDB-GENE-980526-178,fgf3,
A0A0B5JWC2,TrEMBL,ZFIN,ZDB-GENE-980526-526,wnt1,
A0A0B5JWD1,TrEMBL,ZFIN,ZDB-GENE-041010-161,chga,
A0A0B5JWD6,TrEMBL,ZFIN,ZDB-GENE-990630-12,cntn2,
A0A0B5JWE6,TrEMBL,ZFIN,ZDB-GENE-050912-2,pmelb,
A0A0B5JWF2,TrEMBL,ZFIN,ZDB-GENE-980526-524,wnt10b,
A0A0B6VLS4,TrEMBL,ZFIN,ZDB-GENE-030131-4505,dhx37,
A0A0C5BKQ6,TrEMBL,ZFIN,ZDB-GENE-090831-2,pde1a,
A0A0C5C3Y9,TrEMBL,ZFIN,ZDB-GENE-090831-2,pde1a,
A0A0D5X166,TrEMBL,ZFIN,ZDB-GENE-120612-3,dhx58,
A0A0D5X2D0,TrEMBL,ZFIN,ZDB-GENE-120612-3,dhx58,
A0A0E3D6N5,TrEMBL,Ensembl,ENSDART00000162480.2,ENSDARP00000130215.1,
A0A0E3D6N5,TrEMBL,ZFIN,ZDB-GENE-020419-27,mcm7,
A0A0E3D803,TrEMBL,ZFIN,ZDB-GENE-090821-7,rigi,
A0A0E3D807,TrEMBL,ZFIN,ZDB-GENE-090821-7,rigi,
A0A0E4AXB8,TrEMBL,ZFIN,ZDB-GENE-030909-6,mcm6,
A0A0E4AY38,TrEMBL,ZFIN,ZDB-GENE-020419-4,mcm3,
A0A0E4AYA7,TrEMBL,Ensembl,ENSDART00000165678.2,ENSDARP00000137512.2,
A0A0E4AYA7,TrEMBL,ZFIN,ZDB-GENE-050913-141,mcm6l,
A0A0F6Y5M7,TrEMBL,ZFIN,ZDB-GENE-030131-2878,iqgap2,
A0A0G2KC68,TrEMBL,Ensembl,ENSDART00000156841.2,ENSDARP00000129824.1,
