accession	db	ensdarg
Q6NZW8	Ensembl	ENSDARG00000006915
A3KNS9	Ensembl	ENSDARG00000043388
Q566V0	Ensembl	ENSDARG00000016368
Q6P5L7	Ensembl	ENSDARG00000019223
Q7ZVW9	Ensembl	ENSDARG00000018319
Q5XJB9	Ensembl	ENSDARG00000041589
Q6NW85	Ensembl	ENSDARG00000036870
Q6NW85	Ensembl	ENSDARG00000112965
Q6PFJ9	Ensembl	ENSDARG00000003616
A2BEA6	Ensembl	ENSDARG00000067729
A2BEA6	Ensembl	ENSDARG00000114447
Q1MTE5	Ensembl	ENSDARG00000071409
Q5M9P8	Ensembl	ENSDARG00000032056
Q5M9P8	Ensembl	ENSDARG00000113281
Q6PGW3	Ensembl	ENSDARG00000104285
Q58EM4	Ensembl	ENSDARG00000055676
Q56A35	Ensembl	ENSDARG00000070076
Q1LWJ6	Ensembl	ENSDARG00000041085
O42115	Ensembl	ENSDARG00000058011
Q6NYY4	Ensembl	ENSDARG00000101037
Q6NY34	Ensembl	ENSDARG00000043713
Q5W7F1	Ensembl	ENSDARG00000012829
Q5BKW9	Ensembl	ENSDARG00000021681
Q32LR5	Ensembl	ENSDARG00000042025
Q708S7	Ensembl	ENSDARG00000008329
Q708S8	Ensembl	ENSDARG00000101866
Q708S6	Ensembl	ENSDARG00000098428
Q708S3	Ensembl	ENSDARG00000004243
Q708S5	Ensembl	ENSDARG00000006849
Q90259	Ensembl	ENSDARG00000038386
Q90260	Ensembl	ENSDARG00000101628
A0JMH0	Ensembl	ENSDARG00000059629
Q1LYL8	Ensembl	ENSDARG00000070132
Q7SY54	Ensembl	ENSDARG00000035544
Q6PH17	Ensembl	ENSDARG00000004472
Q7ZZ25	Ensembl	ENSDARG00000023267
Q503W7	Ensembl	ENSDARG00000056609
A3KNL5	Ensembl	ENSDARG00000067975
Q1LYB6	Ensembl	ENSDARG00000044092
Q1LYB6	Ensembl	ENSDARG00000112469
Q6NW59	Ensembl	ENSDARG00000111939
Q7SYE0	Ensembl	ENSDARG00000036040
Q6PFS7	Ensembl	ENSDARG00000009350
Q6DG88	Ensembl	ENSDARG00000052104
R4GER2	Ensembl	ENSDARG00000043548
Q3B736	Ensembl	ENSDARG00000043287
Q8AW52	Ensembl	ENSDARG00000069552
D2CLZ9	Ensembl	ENSDARG00000037555
A4IGF3	Ensembl	ENSDARG00000063686
Q9MIY5	Ensembl	ENSDARG00000063911
Q9MIY6	Ensembl	ENSDARG00000063910
Q566V9	Ensembl	ENSDARG00000056087
Q6PBN5	Ensembl	ENSDARG00000092609
P57095	Ensembl	ENSDARG00000100149
Q04475	Ensembl	ENSDARG00000053136
Q7T3S5	Ensembl	ENSDARG00000018971
L7YAI7	Ensembl	ENSDARG00000077583
L7YAI7	Ensembl	ENSDARG00000111962
Q3YL68	Ensembl	ENSDARG00000037815
Q6DGZ1	Ensembl	ENSDARG00000017385
Q6AXK4	Ensembl	ENSDARG00000077526
A9ULR9	Ensembl	ENSDARG00000044769
Q6P026	Ensembl	ENSDARG00000037009
A3KPW9	Ensembl	ENSDARG00000077531
Q1RM09	Ensembl	ENSDARG00000053358
Q1RM09	Ensembl	ENSDARG00000110677
F1QW76	Ensembl	ENSDARG00000011818
Q1L8Y6	Ensembl	ENSDARG00000071046
Q1L8Y6	Ensembl	ENSDARG00000112897
Q1L8Y6	Ensembl	ENSDARG00000116522
Q98SP7	Ensembl	ENSDARG00000041621
Q98SP7	Ensembl	ENSDARG00000110124
Q7ZWB7	Ensembl	ENSDARG00000039827
Q6NWJ0	Ensembl	ENSDARG00000111877
A2BIL8	Ensembl	ENSDARG00000040396
A2BIL8	Ensembl	ENSDARG00000116093
Q5XFY4	Ensembl	ENSDARG00000052907
Q7ZV60	Ensembl	ENSDARG00000012295
F1RCP1	Ensembl	ENSDARG00000079128
Q68EL3	Ensembl	ENSDARG00000032037
A0JMK8	Ensembl	ENSDARG00000052427
Q9IB61	Ensembl	ENSDARG00000052073
A0A0R4IES7	Ensembl	ENSDARG00000062330
Q4V8V1	Ensembl	ENSDARG00000006235
I6V1W0	Ensembl	ENSDARG00000096603
Q7T3E6	Ensembl	ENSDARG00000013076
Q5XIX8	Ensembl	ENSDARG00000077830
Q4V8S9	Ensembl	ENSDARG00000055070
A3KQI3	Ensembl	ENSDARG00000071339
Q1RLU1	Ensembl	ENSDARG00000062585
F1R5H6	Ensembl	ENSDARG00000078904
Q6IQ86	Ensembl	ENSDARG00000041974
Q5RHR6	Ensembl	ENSDARG00000041734
A3KQV2	Ensembl	ENSDARG00000013659
A2BIJ3	Ensembl	ENSDARG00000052623
Q6R3Q6	Ensembl	ENSDARG00000068976
Q6R3Q6	Ensembl	ENSDARG00000110782
Q6PC91	Ensembl	ENSDARG00000089681
Q5TZE1	Ensembl	ENSDARG00000032369
Q5TZE1	Ensembl	ENSDARG00000114044
H0WFA5	Ensembl	ENSDARG00000096095
E7EXZ6	Ensembl	ENSDARG00000045797
Q6TH01	Ensembl	ENSDARG00000030038
Q5RGJ5	Ensembl	ENSDARG00000002128
Q1LX59	Ensembl	ENSDARG00000068138
Q567X1	Ensembl	ENSDARG00000039381
Q567X1	Ensembl	ENSDARG00000113169
Q567X1	Ensembl	ENSDARG00000109469
A8WGT1	Ensembl	ENSDARG00000038728
A8WGA0	Ensembl	ENSDARG00000092660
Q6TEL3	Ensembl	ENSDARG00000023724
A9JR56	Ensembl	ENSDARG00000094577
A9JR56	Ensembl	ENSDARG00000113403
P0C7U5	Ensembl	ENSDARG00000040319
Q0P485	Ensembl	ENSDARG00000005232
Q6DHL7	Ensembl	ENSDARG00000079555
Q6DBW9	Ensembl	ENSDARG00000056722
Q7SZP2	Ensembl	ENSDARG00000103134
Q567C3	Ensembl	ENSDARG00000017657
Q5TYP4	Ensembl	ENSDARG00000042120
Q1L9C7	Ensembl	ENSDARG00000069009
Q7ZUC2	Ensembl	ENSDARG00000070682
Q7ZUC2	Ensembl	ENSDARG00000109313
A2BGD5	Ensembl	ENSDARG00000036695
B8JMH0	Ensembl	ENSDARG00000063446
A0JMK9	Ensembl	ENSDARG00000062152
Q92051	Ensembl	ENSDARG00000011166
Q5TYM7	Ensembl	ENSDARG00000092758
Q6PI52	Ensembl	ENSDARG00000015050
Q6PI52	Ensembl	ENSDARG00000031427
Q6PI52	Ensembl	ENSDARG00000021811
Q6PI52	Ensembl	ENSDARG00000034187
Q6PI52	Ensembl	ENSDARG00000074057
Q6PI52	Ensembl	ENSDARG00000100825
A5WUN7	Ensembl	ENSDARG00000035122
Q7SY49	Ensembl	ENSDARG00000005141
Q7SY49	Ensembl	ENSDARG00000117013
A0A0R4IKJ1	Ensembl	ENSDARG00000099084
Q5RJ80	Ensembl	ENSDARG00000020749
Q6DC04	Ensembl	ENSDARG00000018698
Q1ECZ4	Ensembl	ENSDARG00000029911
Q9I9L7	Ensembl	ENSDARG00000008165
Q504J1	Ensembl	ENSDARG00000052039
F1Q8W0	Ensembl	ENSDARG00000059866
Q08CH6	Ensembl	ENSDARG00000063009
A3KQ58	Ensembl	ENSDARG00000059459
Q567I9	Ensembl	ENSDARG00000056007
Q1LU86	Ensembl	ENSDARG00000004436
B8JLQ9	Ensembl	ENSDARG00000077688
Q6DGB6	Ensembl	ENSDARG00000053455
Q6PHE8	Ensembl	ENSDARG00000043502
A2BGP7	Ensembl	ENSDARG00000056477
Q5RHZ2	Ensembl	ENSDARG00000045850
Q1LY84	Ensembl	ENSDARG00000091513
A3KNX6	Ensembl	ENSDARG00000061664
A2CEM9	Ensembl	ENSDARG00000061543
A8WGB1	Ensembl	ENSDARG00000086158
Q7T312	Ensembl	ENSDARG00000021753
X1WGV5	Ensembl	ENSDARG00000073962
Q56A40	Ensembl	ENSDARG00000100584
Q90X49	Ensembl	ENSDARG00000000002
Q6DRP4	Ensembl	ENSDARG00000013705
Q90459	Ensembl	ENSDARG00000101637
Q6NYX6	Ensembl	ENSDARG00000105046
F1QMB9	Ensembl	ENSDARG00000034146
Q6P3G4	Ensembl	ENSDARG00000040085
Q08CI4	Ensembl	ENSDARG00000099692
Q6PC40	Ensembl	ENSDARG00000075025
Q68EK9	Ensembl	ENSDARG00000077815
Q68EK9	Ensembl	ENSDARG00000115575
Q6B3P0	Ensembl	ENSDARG00000004643
Q08BW6	Ensembl	ENSDARG00000070461
Q1RLU9	Ensembl	ENSDARG00000006093
A8WIP6	Ensembl	ENSDARG00000003867
Q7SXE8	Ensembl	ENSDARG00000044811
Q7SXE8	Ensembl	ENSDARG00000111590
Q6NWZ9	Ensembl	ENSDARG00000099389
Q5RGZ1	Ensembl	ENSDARG00000095705
Q6NZT2	Ensembl	ENSDARG00000026834
Q7T370	Ensembl	ENSDARG00000023028
Q6NXA8	Ensembl	ENSDARG00000113250
E7F5E1	Ensembl	ENSDARG00000087369
A3KPQ7	Ensembl	ENSDARG00000061600
Q9IBD0	Ensembl	ENSDARG00000005315
Q6P0B1	Ensembl	ENSDARG00000002131
Q9IBD1	Ensembl	ENSDARG00000034668
Q6DGV1	Ensembl	ENSDARG00000070045
Q803H4	Ensembl	ENSDARG00000093022
Q1LV50	Ensembl	ENSDARG00000044135
Q4V8Z3	Ensembl	ENSDARG00000059175
Q6GQN0	Ensembl	ENSDARG00000038500
Q6GQN0	Ensembl	ENSDARG00000117114
Q502I3	Ensembl	ENSDARG00000102349
Q5M7Y0	Ensembl	ENSDARG00000110459
Q6NZZ3	Ensembl	ENSDARG00000017337
A2BDR7	Ensembl	ENSDARG00000099042
A2RV06	Ensembl	ENSDARG00000021997
A8Y5T1	Ensembl	ENSDARG00000034457
A2AVJ0	Ensembl	ENSDARG00000088753
Q6PBJ2	Ensembl	ENSDARG00000100514
A0A0R4IFG5	Ensembl	ENSDARG00000100892
A2BFC9	Ensembl	ENSDARG00000068122
Q1LX78	Ensembl	ENSDARG00000041107
Q5PRC0	Ensembl	ENSDARG00000045190
Q5SPB6	Ensembl	ENSDARG00000070426
Q4KMJ1	Ensembl	ENSDARG00000055078
A5WW08	Ensembl	ENSDARG00000075347
Q7ZVB1	Ensembl	ENSDARG00000110691
Q7ZVB1	Ensembl	ENSDARG00000099624
Q6NXD2	Ensembl	ENSDARG00000002190
Q6IQ73	Ensembl	ENSDARG00000007323
Q6NY88	Ensembl	ENSDARG00000038064
Q7T339	Ensembl	ENSDARG00000103718
Q503V0	Ensembl	ENSDARG00000102024
Q568T5	Ensembl	ENSDARG00000034528
Q568T5	Ensembl	ENSDARG00000109583
Q568T5	Ensembl	ENSDARG00000111154
Q7ZW02	Ensembl	ENSDARG00000014572
Q6AXM1	Ensembl	ENSDARG00000031632
Q805E5	Ensembl	ENSDARG00000043011
Q6P0D9	Ensembl	ENSDARG00000059212
Q7T326	Ensembl	ENSDARG00000052703
Q08BN1	Ensembl	ENSDARG00000069363
Q6NWE0	Ensembl	ENSDARG00000110147
Q6NWH0	Ensembl	ENSDARG00000019406
Q5PR55	Ensembl	ENSDARG00000045785
Q6NYW6	Ensembl	ENSDARG00000020345
B2ZGJ1	Ensembl	ENSDARG00000015854
A0A2R8Q3S9	Ensembl	ENSDARG00000100186
Q6DHP1	Ensembl	ENSDARG00000036376
Q6DHP1	Ensembl	ENSDARG00000111721
Q6DHP1	Ensembl	ENSDARG00000115826
Q9YH92	Ensembl	ENSDARG00000014047
Q9YH92	Ensembl	ENSDARG00000114912
Q9YH91	Ensembl	ENSDARG00000006580
Q9YH90	Ensembl	ENSDARG00000003701
Q6DHU1	Ensembl	ENSDARG00000021048
E7F3I6	Ensembl	ENSDARG00000063663
A0A2R8RY99	Ensembl	ENSDARG00000110932
Q5SPP0	Ensembl	ENSDARG00000053122
Q6GML1	Ensembl	ENSDARG00000057714
E7FH61	Ensembl	ENSDARG00000060023
Q5RH01	Ensembl	ENSDARG00000033757
Q5U395	Ensembl	ENSDARG00000016519
Q5U395	Ensembl	ENSDARG00000115280
Q5BL21	Ensembl	ENSDARG00000043662
A4QP78	Ensembl	ENSDARG00000068596
A2BHJ4	Ensembl	ENSDARG00000054597
Q08BM8	Ensembl	ENSDARG00000032116
Q08BM8	Ensembl	ENSDARG00000115413
Q6NWL4	Ensembl	ENSDARG00000033855
Q2L6L1	Ensembl	ENSDARG00000003757
Q2L6K8	Ensembl	ENSDARG00000055797
Q5TYQ3	Ensembl	ENSDARG00000019355
A0A0R4IWI1	Ensembl	ENSDARG00000099849
Q29RB1	Ensembl	ENSDARG00000054264
A5PMY6	Ensembl	ENSDARG00000061140
F4ZGF2	Ensembl	ENSDARG00000015337
A4IG53	Ensembl	ENSDARG00000025679
Q66HV4	Ensembl	ENSDARG00000056557
Q66HV4	Ensembl	ENSDARG00000116045
Q9PUE4	Ensembl	ENSDARG00000034823
F1RAX8	Ensembl	ENSDARG00000060380
Q5RGU1	Ensembl	ENSDARG00000020123
A3QJU3	Ensembl	ENSDARG00000101130
B0R0D7	Ensembl	ENSDARG00000035598
Q9MIY8	Ensembl	ENSDARG00000063905
Q6DH88	Ensembl	ENSDARG00000099997
Q9MIY7	Ensembl	ENSDARG00000063908
Q9MIY4	Ensembl	ENSDARG00000063912
Q6DHJ6	Ensembl	ENSDARG00000043635
A7MCS3	Ensembl	ENSDARG00000075345
U3JAG9	Ensembl	ENSDARG00000109476
Q5RG45	Ensembl	ENSDARG00000002991
F1Q8C3	Ensembl	ENSDARG00000098995
Q9YGX5	Ensembl	ENSDARG00000008454
Q6AZB3	Ensembl	ENSDARG00000045733
A0A0R4IC37	Ensembl	ENSDARG00000034178
Q7T3C6	Ensembl	ENSDARG00000003153
Q6NWC6	Ensembl	ENSDARG00000018618
Q5U3U3	Ensembl	ENSDARG00000038618
Q1LUS5	Ensembl	ENSDARG00000077407
Q1MTD4	Ensembl	ENSDARG00000035985
A1L224	Ensembl	ENSDARG00000063563
Q5RG44	Ensembl	ENSDARG00000011602
Q642H2	Ensembl	ENSDARG00000104049
Q7SXF6	Ensembl	ENSDARG00000029071
Q7SXF6	Ensembl	ENSDARG00000116264
Q5XTN8	Ensembl	ENSDARG00000102129
Q567Z6	Ensembl	ENSDARG00000102511
Q1L990	Ensembl	ENSDARG00000114095
B0V3H4	Ensembl	ENSDARG00000039513
X1WEM4	Ensembl	ENSDARG00000004158
Q91398	Ensembl	ENSDARG00000077776
Q6IQT4	Ensembl	ENSDARG00000004785
Q6P0H6	Ensembl	ENSDARG00000043732
Q6PC30	Ensembl	ENSDARG00000057624
Q7ZUZ0	Ensembl	ENSDARG00000024846
Q7ZUZ0	Ensembl	ENSDARG00000115974
Q6P6E6	Ensembl	ENSDARG00000045296
A9C3N6	Ensembl	ENSDARG00000046141
F1R983	Ensembl	ENSDARG00000043480
Q08BB5	Ensembl	ENSDARG00000061587
A4QNX6	Ensembl	ENSDARG00000060586
B7ZC77	Ensembl	ENSDARG00000024785
F1QGH7	Ensembl	ENSDARG00000014571
Q803X1	Ensembl	ENSDARG00000020986
Q6DC53	Ensembl	ENSDARG00000051851
Q6TLH3	Ensembl	ENSDARG00000039365
A0A0R4INB9	Ensembl	ENSDARG00000100662
B0R191	Ensembl	ENSDARG00000094706
B0R191	Ensembl	ENSDARG00000093779
B0R191	Ensembl	ENSDARG00000116337
Q7T047	Ensembl	ENSDARG00000076789
O57474	Ensembl	ENSDARG00000041799
Q90Y50	Ensembl	ENSDARG00000043658
U3JA75	Ensembl	ENSDARG00000054150
E9QJ73	Ensembl	ENSDARG00000041041
A3KPR5	Ensembl	ENSDARG00000056281
Q6DGA7	Ensembl	ENSDARG00000071414
Q6DGA7	Ensembl	ENSDARG00000111331
Q9MIX8	Ensembl	ENSDARG00000063924
Q6IQM2	Ensembl	ENSDARG00000044562
Q575S8	Ensembl	ENSDARG00000114471
Q575S8	Ensembl	ENSDARG00000109892
Q1JPY5	Ensembl	ENSDARG00000042641
A5PLE2	Ensembl	ENSDARG00000102482
Q2KN93	Ensembl	ENSDARG00000006719
Q6NYG4	Ensembl	ENSDARG00000103783
A8DZE7	Ensembl	ENSDARG00000098838
Q561Y0	Ensembl	ENSDARG00000037334
F1Q7Z7	Ensembl	ENSDARG00000092662
A0A2R8QCI3	Ensembl	ENSDARG00000053713
Q9PTU1	Ensembl	ENSDARG00000086393
Q9PTU0	Ensembl	ENSDARG00000113468
Q6NWH1	Ensembl	ENSDARG00000029600
Q6NWH1	Ensembl	ENSDARG00000110405
Q08BB3	Ensembl	ENSDARG00000063155
A8WHR0	Ensembl	ENSDARG00000074909
E7F6H7	Ensembl	ENSDARG00000078386
B0V2S2	Ensembl	ENSDARG00000068833
Q5RGE5	Ensembl	ENSDARG00000045704
Q5RGE5	Ensembl	ENSDARG00000110444
Q9PTS2	Ensembl	ENSDARG00000006818
Q7T2A3	Ensembl	ENSDARG00000076074
Q2YDS1	Ensembl	ENSDARG00000041140
Q2YDS1	Ensembl	ENSDARG00000114723
Q6TH22	Ensembl	ENSDARG00000006477
Q7T346	Ensembl	ENSDARG00000037618
F1R345	Ensembl	ENSDARG00000011072
Q6NV34	Ensembl	ENSDARG00000045257
Q7SYB5	Ensembl	ENSDARG00000012247
A8E7G4	Ensembl	ENSDARG00000062965
Q1LX49	Ensembl	ENSDARG00000062381
Q6NXD8	Ensembl	ENSDARG00000003789
Q6DH65	Ensembl	ENSDARG00000037229
Q6DC39	Ensembl	ENSDARG00000004460
A0A8M2BID5	Ensembl	ENSDARG00000022309.10
A0A8M9PQ61	Ensembl	ENSDARG00000076673.4
Q6AXJ3	Ensembl	ENSDARG00000055474
Q4V9F0	Ensembl	ENSDARG00000018846
Q6P3L6	Ensembl	ENSDARG00000015709
Q6QA33	Ensembl	ENSDARG00000035872
Q6QA32	Ensembl	ENSDARG00000115935
F1RE57	Ensembl	ENSDARG00000010981
Q2THW0	Ensembl	ENSDARG00000016263
E7FBS9	Ensembl	ENSDARG00000087417
Q642M9	Ensembl	ENSDARG00000019081
Q6PUF3	Ensembl	ENSDARG00000071377
Q6PUF3	Ensembl	ENSDARG00000109751
F1QLP1	Ensembl	ENSDARG00000001975
Q561X9	Ensembl	ENSDARG00000052696
Q6DGM2	Ensembl	ENSDARG00000055712
Q68FN7	Ensembl	ENSDARG00000030139
Q6NVJ5	Ensembl	ENSDARG00000005350
Q6TV19	Ensembl	ENSDARG00000001129
Q1RLQ5	Ensembl	ENSDARG00000062955
Q6R5J1	Ensembl	ENSDARG00000042846
Q6IMK3	Ensembl	ENSDARG00000070916
Q5PYH5	Ensembl	ENSDARG00000102216
O57409	Ensembl	ENSDARG00000004232
Q98875	Ensembl	ENSDARG00000013125
Q98876	Ensembl	ENSDARG00000017174
Q98876	Ensembl	ENSDARG00000116017
Q98879	Ensembl	ENSDARG00000011956
Q98878	Ensembl	ENSDARG00000071560
Q98877	Ensembl	ENSDARG00000042291
Q71MM5	Ensembl	ENSDARG00000007349
P83758	Ensembl	ENSDARG00000035290
P83758	Ensembl	ENSDARG00000114587
Q6DG03	Ensembl	ENSDARG00000025824
Q6DG03	Ensembl	ENSDARG00000109819
Q8JI10	Ensembl	ENSDARG00000009922
Q566X8	Ensembl	ENSDARG00000002510
F1QHZ6	Ensembl	ENSDARG00000044400
F1QHZ6	Ensembl	ENSDARG00000109570
Q6DHB1	Ensembl	ENSDARG00000034042
Q6DHB1	Ensembl	ENSDARG00000097505
Q7T1H5	Ensembl	ENSDARG00000022813
Q6NWJ4	Ensembl	ENSDARG00000070477
Q7SXN5	Ensembl	ENSDARG00000015006
E7F1U2	Ensembl	ENSDARG00000074121
B8A556	Ensembl	ENSDARG00000075730
Q0P448	Ensembl	ENSDARG00000060501
A9LMC0	Ensembl	ENSDARG00000025309
A4QN59	Ensembl	ENSDARG00000078077
A2RV01	Ensembl	ENSDARG00000042839
Q52PJ5	Ensembl	ENSDARG00000002587
F1QRC1	Ensembl	ENSDARG00000042182
Q6DHI2	Ensembl	ENSDARG00000032005
Q6DHI2	Ensembl	ENSDARG00000115576
F1QNW4	Ensembl	ENSDARG00000101431
A3KQH2	Ensembl	ENSDARG00000068678
Q9W747	Ensembl	ENSDARG00000078004
Q1LWL2	Ensembl	ENSDARG00000056396
Q566R7	Ensembl	ENSDARG00000039850
A8E5C5	Ensembl	ENSDARG00000071877
F1QSQ0	Ensembl	ENSDARG00000039677.8
Q2WG78	Ensembl	ENSDARG00000036974
F1QGC8	Ensembl	ENSDARG00000044628
Q5RHI5	Ensembl	ENSDARG00000023002
Q4VSN1	Ensembl	ENSDARG00000000853
P35621	Ensembl	ENSDARG00000037995
Q66IC8	Ensembl	ENSDARG00000103545
F1QMY1	Ensembl	ENSDARG00000054255
A2CI97	Ensembl	ENSDARG00000071025
Q5RIX9	Ensembl	ENSDARG00000008986
F1QZ88	Ensembl	ENSDARG00000057323
Q6AZD3	Ensembl	ENSDARG00000101216
Q6NYL3	Ensembl	ENSDARG00000070029
Q1LUT1	Ensembl	ENSDARG00000114070
Q6PBY3	Ensembl	ENSDARG00000009950
Q566T0	Ensembl	ENSDARG00000099640
Q92005	Ensembl	ENSDARG00000020850
Q6PE25	Ensembl	ENSDARG00000056119
Q08BB1	Ensembl	ENSDARG00000063624
P79727	Ensembl	ENSDARG00000031372
O73874	Ensembl	ENSDARG00000020164
P26632	Ensembl	ENSDARG00000037421
P26632	Ensembl	ENSDARG00000115563
Q6DRI1	Ensembl	ENSDARG00000113466
Q6DRI1	Ensembl	ENSDARG00000090697
Q6AXJ2	Ensembl	ENSDARG00000102452
Q5PR67	Ensembl	ENSDARG00000036116
Q6PCR7	Ensembl	ENSDARG00000076815
Q6TH15	Ensembl	ENSDARG00000021257
Q6DRC4	Ensembl	ENSDARG00000016889
Q7ZV55	Ensembl	ENSDARG00000017445
Q7T2A5	Ensembl	ENSDARG00000101082
Q7T3B0	Ensembl	ENSDARG00000013931
A0A0R4IEW8	Ensembl	ENSDARG00000045639
P0DMC2	Ensembl	ENSDARG00000094729
P0DMC2	Ensembl	ENSDARG00000113515
Q6PC64	Ensembl	ENSDARG00000004402
Q5RIC0	Ensembl	ENSDARG00000042005
Q566Y1	Ensembl	ENSDARG00000008852
Q0P424	Ensembl	ENSDARG00000115612
Q0P424	Ensembl	ENSDARG00000060445
Q6TGY8	Ensembl	ENSDARG00000003308
Q7SXW4	Ensembl	ENSDARG00000020607
Q6TLE4	Ensembl	ENSDARG00000010553
Q6TLE4	Ensembl	ENSDARG00000109407
Q6P0F0	Ensembl	ENSDARG00000035282
Q5TYV0	Ensembl	ENSDARG00000012144
F1QIK8	Ensembl	ENSDARG00000044588
Q804S6	Ensembl	ENSDARG00000039569
Q1LUM3	Ensembl	ENSDARG00000109519
Q1LUM3	Ensembl	ENSDARG00000112234
